# word	pinyin	frequency
# Common characters
的	de	5000000
一	yi	3000000
是	shi	2500000
不	bu	2000000
了	le	1800000
人	ren	1500000
我	wo	1400000
在	zai	1300000
有	you	1200000
他	ta	1100000
这	zhe	1000000
中	zhong	950000
大	da	800000
来	lai	750000
上	shang	720000
国	guo	900000
个	ge	850000
到	dao	700000
说	shuo	680000
们	men	670000
为	wei	650000
子	zi	640000
和	he	630000
你	ni	620000
地	di	600000
出	chu	590000
道	dao	580000
也	ye	570000
时	shi	500000
要	yao	560000
就	jiu	550000
可	ke	540000
下	xia	530000
以	yi	520000
生	sheng	510000
会	hui	505000
自	zi	500000
着	zhe	490000
去	qu	480000
之	zhi	470000
过	guo	560000
家	jia	450000
学	xue	440000
对	dui	430000
能	neng	420000
里	li	410000
后	hou	400000
小	xiao	390000
么	me	385000
心	xin	380000
多	duo	370000
天	tian	360000
而	er	350000
得	de	340000
于	yu	330000
之	zhi	470000
年	nian	320000
方	fang	310000
经	jing	300000
发	fa	390000
事	shi	400000
作	zuo	360000
当	dang	350000
没	mei	345000
看	kan	340000
只	zhi	300000
如	ru	290000
前	qian	280000
面	mian	335000
所	suo	270000
道	dao	580000
然	ran	260000
那	na	255000
还	hai	250000
用	yong	340000
第	di	240000
样	yang	235000
道	dao	580000
头	tou	230000
好	hao	420000
进	jin	225000
着	zhe	490000
同	tong	220000
现	xian	315000
面	mian	335000
开	kai	210000
手	shou	330000
十	shi	250000
用	yong	340000
主	zhu	205000
理	li	200000
无	wu	198000
力	li	196000
理	li	200000
电	dian	194000
经	jing	300000
法	fa	380000
工	gong	280000
使	shi	200000
世	shi	180000
试	shi	150000
识	shi	140000
石	shi	120000
师	shi	130000
诗	shi	80000
史	shi	110000
始	shi	100000
市	shi	300000
式	shi	160000
士	shi	90000
失	shi	85000
实	shi	280000
食	shi	95000
四	si	200000
死	si	90000
似	si	80000
司	si	70000
思	si	120000
私	si	50000
丝	si	40000
撕	si	20000
寺	si	30000
兰	lan	60000
蓝	lan	70000
栏	lan	40000
拦	lan	25000
览	lan	35000
懒	lan	30000
烂	lan	50000
然	ran	260000
染	ran	40000
燃	ran	35000
让	rang	180000
藏	zang	80000
脏	zang	40000
葬	zang	25000
张	zhang	220000
长	zhang	240000
章	zhang	150000
掌	zhang	80000
丈	zhang	40000
涨	zhang	50000
帐	zhang	45000
账	zhang	55000
资	zi	160000
格	ge	180000
最	zui	210000
高	gao	300000
输	shu	90000
入	ru	200000
苹	ping	40000
果	guo	180000
机	ji	260000
商	shang	150000
品	pin	170000
书	shu	200000
水	shui	190000
火	huo	180000
山	shan	170000
口	kou	160000
日	ri	200000
月	yue	190000
木	mu	120000
金	jin	180000
土	tu	110000
女	nv	150000
略	lve	80000
掠	lve	30000
绿	lv	90000
吕	lv	40000
省略	sheng lve	40000
省略号	sheng lve hao	25000
男	nan	140000
子	zi	640000
语	yu	130000
言	yan	140000
文	wen	200000
字	zi	210000
汉	han	120000
英	ying	130000
美	mei	140000
国	guo	900000
人	ren	1500000
你	ni	620000
好	hao	420000
吗	ma	200000
吧	ba	150000
啊	a	180000
哦	o	80000
嗯	en	70000
额	e	60000
# Common words
中国	zhong guo	900000
这个	zhe ge	700000
资格	zi ge	40000
最高	zui gao	60000
我们	wo men	800000
他们	ta men	600000
自己	zi ji	500000
什么	shen me	650000
没有	mei you	550000
可以	ke yi	480000
